version,release_date,release_type,type,flipped
3,2025-08-28,PATCH,deb
2,2025-01-14,PATCH,deb
1.6.0-1,2024-11-22,MINOR,deb
1.5.1,2021-12-02,MAJOR,deb
4,2025-08-28,PATCH,docker
3,2025-06-11,PATCH,docker
2,2025-01-30,PATCH,docker
1.6.0-1,2025-01-08,MAJOR,docker
1.6.0,2024-11-22,MINOR,j2ee
1,2021-12-02,PATCH,j2ee
1.5.0,2021-09-08,MINOR,j2ee
1,2021-05-26,PATCH,j2ee
1.4.0,2021-05-02,MINOR,j2ee
1.3.0,2020-11-18,MINOR,j2ee
1.2.0,2020-06-07,MINOR,j2ee
1.1.0,2019-08-01,MINOR,j2ee
2,2019-02-18,PATCH,j2ee
1,2019-01-05,PATCH,j2ee
1.0.0,2018-12-12,MAJOR,j2ee
1,2018-01-20,PATCH,j2ee
0.9.0,2018-01-06,MINOR,j2ee
1.6.0,2025-10-21,MINOR,broker
2,2025-06-11,PATCH,broker
1,2023-07-03,PATCH,broker
1.5.0,2023-03-08,MINOR,broker
1.4.0,2023-03-02,MINOR,broker
4,2022-03-07,PATCH,broker
3,2021-09-15,PATCH,broker
2,2021-08-15,PATCH,broker
1,2021-07-15,PATCH,broker
1.3.0,2021-06-28,MINOR,broker
3,2021-06-08,PATCH,broker
2,2021-05-15,PATCH,broker
1,2021-04-16,PATCH,broker
1.2.0,2021-03-29,MINOR,broker
1.1.0,2021-02-25,MINOR,broker
3,2020-11-17,PATCH,broker
2,2020-10-17,PATCH,broker
1,2020-09-20,PATCH,broker
1.0.0,2020-03-05,MAJOR,broker
0.9.0,2019-11-04,MINOR,broker
0.8.0,2019-07-01,MINOR,broker
0.7.0,2018-12-06,MINOR,broker
0.6.0,2018-06-11,MINOR,broker
0.5.0,2018-01-16,MINOR,broker
